,modo,tipo,bairro,rua,numero,metros_quadrados,quartos,vagas,banheiros,valor
0,aluguel,Loja,Sete de Abril, Caminho 1ª Travessa 13 de Maio, 4348,35.0,0,1,1,1200
1,aluguel,Loja,Rio Vermelho, Rua Oswaldo Cruz, 362,20.0,0,0,0,1200
2,aluguel,Loja,Caminho de Areia, Rua Caminho de Areia, 51,30.0,0,0,1,1200
3,aluguel,Sala,Paralela, Avenida Luís Viana, 13145,34.62,0,1,1,1200
4,aluguel,Sala,Sussuarana, Avenida Ulysses Guimarães, 3302,32.0,0,1,1,1200
5,aluguel,Sala,Comércio, Rua Miguel Calmon,,55.91,0,0,0,1200
6,aluguel,Sala,Rio Vermelho, Rua Eduardo José dos Santos,,31.0,0,1,1,1200
7,aluguel,Sala,Caminho das Árvores, Avenida Tancredo Neves,,45.0,0,1,0,1200
8,aluguel,Sala,Alphaville I, Avenida Luís Viana - Lado Par, 7416,29.53,0,1,1,1200
9,aluguel,Sala,Alphaville I, Avenida Luís Viana - Lado Par, 7416,29.53,0,1,1,1200
10,aluguel,Apartamento,Dois de Julho, Largo Dois de Julho, 1,40.0,1,0,1,1250
11,aluguel,Apartamento,Pituba,,,50.0,1,1,2,1250
12,aluguel,Apartamento2,Roma, Rua Antônio Francisco Brandão, 10,50.0,2,1,1,1250
13,aluguel,Casa,Liberdade, Rua Brumado, 15,180.0,3,0,2,1250
14,aluguel,Apartamento,Amaralina, Rua Visconde de Itaborahy,,45.03,1,1,1,1280
15,aluguel,Apartamento,Campo Grande, Rua Banco dos Ingleses,,39.14,1,1,1,1280
16,aluguel,Apartamento2,Politeama, Rua Politeama de Baixo,,58.0,2,1,1,1280
17,aluguel,Apartamento3,Politeama, Rua Politeama de Cima,,108.0,3,0,1,1280
18,aluguel,Apartamento,Ondina, Rua Doutor João Garcez Fróes,,47.55,1,0,1,1296
19,aluguel,Apartamento,Barra, Rua Miguel Burnier,,56.0,1,1,1,1296
20,aluguel,Village,Itapuã, Rua do Teatro,,42.0,2,0,1,1296
21,aluguel,Village,São Cristóvão, Rua Jurataí,,67.0,2,1,1,1296
22,aluguel,Apartamento,Pituba, Rua Marechal Andréa,,50.0,1,1,1,1300
23,aluguel,Apartamento,Ondina, Rua Professor Clementino Fraga,,48.0,1,1,1,1300
24,aluguel,Apartamento2,Chame-chame, Avenida Centenário,,90.0,2,1,1,1300
25,aluguel,Apartamento2,Daniel Lisboa, Rua Rodolfo Pimentel,,74.0,2,1,2,1300
26,aluguel,Apartamento2,Nordeste, Rua Adelmário Pinheiro,,80.0,2,0,2,1300
27,aluguel,Apartamento3,Stiep, Rua Edístio Pondé, 66,85.0,3,1,2,1300
28,aluguel,Apartamento2,Vila Laura, Rua Genésio Sales,,83.0,2,0,1,1380
29,aluguel,Apartamento2,Monte Serrat, Rua Rio Jaguaripe, 26,160.0,2,0,1,1380
30,aluguel,Apartamento,Costa Azul, Rua Monsenhor Gaspar Sadoc, 481,53.0,1,1,1,1390
31,aluguel,Apartamento2,Acupe de Brotas, Ladeira do Acupe, 34,110.0,2,1,2,1390
32,aluguel,Apartamento,Pituba, Alameda Benevento,,50.0,1,1,1,1400
33,aluguel,Apartamento,Pituba,,,49.0,1,2,1,1400
34,aluguel,Apartamento,Caminho das Árvores, Rua Alceu Amoroso Lima, 668,27.55,1,1,1,1400
35,aluguel,Apartamento2,Federação, Avenida Cardeal da Silva, 204,55.0,2,1,2,1400
36,aluguel,Apartamento2,Garcia, Avenida Leovigildo Filgueiras,,80.0,2,1,1,1400
37,aluguel,Apartamento2,Armação, Rua Professor Euclides Alípio de Oliveira,,82.0,2,1,2,1400
38,aluguel,Apartamento2,Ribeira, Rua Léllis Piedade,,105.0,2,0,2,1400
39,aluguel,Apartamento3,Caminho de Areia, Rua Professor José Martins Rosas, 41,140.0,3,0,2,1400
40,aluguel,Apartamento3,Brotas, Rua Miguel Gustavo,,93.0,3,1,2,1400
41,aluguel,Apartamento3,São Marcos, Conjunto Bosque Imperial, 4,75.0,3,1,2,1400
42,aluguel,Loja,Roma, Rua Henrique Dias, 20,30.0,0,0,1,1400
43,aluguel,Loja,Baixa dos Sapateiros, Avenida José Joaquim Seabra, 57,75.0,0,0,1,1400
44,aluguel,Sala,Parque Bela Vista, Outros 1ª Travessa da Igreja,,100.0,0,0,2,1400
45,aluguel,Sala,Rio Vermelho, Rua Caetité, 285,70.0,0,2,0,1400
46,aluguel,Apartamento,Santa Teresa, Rua Parambu,,40.0,1,1,1,1404
47,aluguel,Apartamento2,Barbalho, Rua Clínio de Jesus,,85.0,2,1,2,1404
48,aluguel,Kitchenette,Jardim Apipema, Rua Nita Costa,,40.03,1,1,1,1404
49,aluguel,Apartamento,Barra, Avenida Oceânica, 1621,41.0,1,0,1,1448
50,aluguel,Apartamento2,Pituaçu, Rua José Chalub Bastos,,58.0,2,1,1,1450
51,aluguel,Apartamento2,Pituaçu, Rua José Chalub Bastos,,58.0,2,1,1,1450
52,aluguel,Apartamento2,Brotas, Rua Otacílio Santos,,57.0,2,1,2,1450
53,aluguel,Apartamento2,Ondina, Avenida Oceânica, 2551,136.0,2,2,2,1450
54,aluguel,Apartamento,Caminho das Árvores, Rua Ewerton Visco,,50.0,1,1,1,1480
55,aluguel,Apartamento2,Piatã, Rua Camuripeba, 22,60.0,2,1,2,1480
56,aluguel,Sala,Caminho das Árvores, Rua Ewerton Visco,,32.0,0,1,1,1500
57,aluguel,Sala,Paralela, Avenida Luís Viana,,33.57,0,1,1,1500
58,aluguel,Sala,Ondina, Avenida Anita Garibaldi,,63.0,0,1,0,1500
59,aluguel,Sala,Cidadela, Rua Senador Teotônio Vilela,,90.0,0,2,1,1500
60,aluguel,Sala,Caminho das Árvores, Rua Ewerton Visco,,32.0,0,1,1,1500
61,aluguel,Sala,Caminho das Árvores, Avenida Tancredo Neves,,33.13,0,1,1,1500
62,aluguel,Sobre-loja,Baixa de Quintas, Rua General Argolo, 40,100.0,0,0,1,1500
63,aluguel,Apartamento2,Jardim Apipema, Rua Professor Sabino Silva,,104.0,2,1,2,1512
64,aluguel,Apartamento3,Ondina,,,84.0,3,1,2,1512
65,aluguel,Apartamento3,Nazaré, Rua Arquimedes Gonçalves,,115.0,3,0,3,1512
66,aluguel,Apartamento2,Matatu, Rua Bandeirantes,,65.0,2,2,1,1550
67,aluguel,Apartamento3,Boa Viagem, Rua Gonçalves de Abreu, 14,125.0,3,0,3,1550
68,aluguel,Apartamento2,Federação, Rua Professor Severo Pessoa,,70.91,2,1,2,1580
69,aluguel,Apartamento2,Cabula, Rua dos Rodoviários,,62.0,2,1,2,1600
70,aluguel,Conjuntodesalas,Pituba, Rua Fernando Menezes de Góes, 397,108.84,0,2,2,1600
71,aluguel,Loja,Lobato, Avenida Afrânio Peixoto, 2228,30.0,0,0,1,1600
72,aluguel,Loja,Pituba, Avenida Antônio Carlos Magalhães - lado ímpar,,28.0,0,0,0,1600
73,aluguel,Loja,Itapuã, Avenida Octávio Mangabeira,,37.1,0,0,0,1600
74,aluguel,Loja,Uruguai, Rua Luiz Régis Pacheco, 268,85.0,0,0,1,1600
75,aluguel,Pontocomercial,Lobato, Avenida Afrânio Peixoto, 1,28.0,0,0,0,1600
76,aluguel,Sala,Amaralina, Travessa Doutor Artur Napoleão Carneiro Rego,,18.0,0,0,9,1600
77,aluguel,Loja,Ondina, Avenida Adhemar de Barros,,60.0,0,0,0,1620
78,aluguel,Apartamento2,Cabula, Rua Sosígenes Costa,,65.0,2,1,2,1674
79,aluguel,Apartamento2,Imbuí, Rua das Gaivotas,,72.79,2,1,2,1680
80,aluguel,Apartamento2,Barra, Rua Greenfeld, 76,100.0,2,0,3,1700
